WORKERS: "gpu05-ib:5555"
Start at Tue Feb  9 15:39:45 EET 2021
CUDA_VISIBLE_DEVICES: 0,1
Running on hosts: gpu05
Running on 1 nodes.
Running 2 tasks per node
Job id is 1092086
0: Number of devices per node: 2
1: Number of devices per node: 2
0: rank 0
1: rank 1
0: => creating model 'resnet50'
1: => creating model 'resnet50'
1: Epoch 0/90 - 66.142s
0: Epoch 0/90 - 66.143s
1: Epoch 1/90 - 31.099s
0: Epoch 1/90 - 31.099s
1: Epoch 2/90 - 31.083s
0: Epoch 2/90 - 31.083s
1: Epoch 3/90 - 31.204s
0: Epoch 3/90 - 31.204s
1: Epoch 4/90 - 31.359s
0: Epoch 4/90 - 31.359s
1: Epoch 5/90 - 31.281s
0: Epoch 5/90 - 31.281s
1: Epoch 6/90 - 31.291s
0: Epoch 6/90 - 31.291s
1: Epoch 7/90 - 31.285s
0: Epoch 7/90 - 31.285s
1: Epoch 8/90 - 31.294s
0: Epoch 8/90 - 31.294s
1: Epoch 9/90 - 31.284s
0: Epoch 9/90 - 31.284s
1: Epoch 10/90 - 31.273s
0: Epoch 10/90 - 31.273s
1: Epoch 11/90 - 31.242s
0: Epoch 11/90 - 31.242s
1: Epoch 12/90 - 31.890s
0: Epoch 12/90 - 31.890s
1: Epoch 13/90 - 31.524s
0: Epoch 13/90 - 31.524s
1: Epoch 14/90 - 31.240s
0: Epoch 14/90 - 31.240s
1: Epoch 15/90 - 31.222s
0: Epoch 15/90 - 31.222s
1: Epoch 16/90 - 31.215s
0: Epoch 16/90 - 31.215s
1: Epoch 17/90 - 31.256s
0: Epoch 17/90 - 31.256s
1: Epoch 18/90 - 31.429s
0: Epoch 18/90 - 31.429s
1: Epoch 19/90 - 31.672s
0: Epoch 19/90 - 31.672s
1: Epoch 20/90 - 31.508s
0: Epoch 20/90 - 31.508s
1: Epoch 21/90 - 31.213s
0: Epoch 21/90 - 31.213s
1: Epoch 22/90 - 31.258s
0: Epoch 22/90 - 31.258s
1: Epoch 23/90 - 31.239s
0: Epoch 23/90 - 31.239s
1: Epoch 24/90 - 31.239s
0: Epoch 24/90 - 31.239s
1: Epoch 25/90 - 31.330s
0: Epoch 25/90 - 31.330s
1: Epoch 26/90 - 31.232s
0: Epoch 26/90 - 31.232s
1: Epoch 27/90 - 31.237s
0: Epoch 27/90 - 31.237s
1: Epoch 28/90 - 31.252s
0: Epoch 28/90 - 31.252s
1: Epoch 29/90 - 31.268s
0: Epoch 29/90 - 31.268s
1: Epoch 30/90 - 31.239s
0: Epoch 30/90 - 31.239s
1: Epoch 31/90 - 31.066s
0: Epoch 31/90 - 31.066s
1: Epoch 32/90 - 31.060s
0: Epoch 32/90 - 31.060s
1: Epoch 33/90 - 31.085s
0: Epoch 33/90 - 31.085s
1: Epoch 34/90 - 31.214s
0: Epoch 34/90 - 31.214s
1: Epoch 35/90 - 31.218s
0: Epoch 35/90 - 31.218s
1: Epoch 36/90 - 31.224s
0: Epoch 36/90 - 31.224s
1: Epoch 37/90 - 31.162s
0: Epoch 37/90 - 31.162s
1: Epoch 38/90 - 31.198s
0: Epoch 38/90 - 31.198s
1: Epoch 39/90 - 31.215s
0: Epoch 39/90 - 31.215s
1: Epoch 40/90 - 31.192s
0: Epoch 40/90 - 31.192s
1: Epoch 41/90 - 31.185s
0: Epoch 41/90 - 31.185s
1: Epoch 42/90 - 31.224s
0: Epoch 42/90 - 31.224s
1: Epoch 43/90 - 31.178s
0: Epoch 43/90 - 31.178s
1: Epoch 44/90 - 31.187s
0: Epoch 44/90 - 31.187s
1: Epoch 45/90 - 31.272s
0: Epoch 45/90 - 31.272s
1: Epoch 46/90 - 31.179s
0: Epoch 46/90 - 31.179s
1: Epoch 47/90 - 31.225s
0: Epoch 47/90 - 31.225s
1: Epoch 48/90 - 31.151s
0: Epoch 48/90 - 31.151s
1: Epoch 49/90 - 31.094s
0: Epoch 49/90 - 31.094s
1: Epoch 50/90 - 31.084s
0: Epoch 50/90 - 31.084s
1: Epoch 51/90 - 31.101s
0: Epoch 51/90 - 31.101s
1: Epoch 52/90 - 31.101s
0: Epoch 52/90 - 31.101s
1: Epoch 53/90 - 31.199s
0: Epoch 53/90 - 31.199s
1: Epoch 54/90 - 31.136s
0: Epoch 54/90 - 31.136s
1: Epoch 55/90 - 31.117s
0: Epoch 55/90 - 31.117s
1: Epoch 56/90 - 31.100s
0: Epoch 56/90 - 31.100s
1: Epoch 57/90 - 31.076s
0: Epoch 57/90 - 31.076s
1: Epoch 58/90 - 31.062s
0: Epoch 58/90 - 31.062s
1: Epoch 59/90 - 31.040s
0: Epoch 59/90 - 31.040s
1: Epoch 60/90 - 31.075s
0: Epoch 60/90 - 31.075s
1: Epoch 61/90 - 31.015s
0: Epoch 61/90 - 31.015s
1: Epoch 62/90 - 31.068s
0: Epoch 62/90 - 31.068s
1: Epoch 63/90 - 31.247s
0: Epoch 63/90 - 31.247s
1: Epoch 64/90 - 31.169s
0: Epoch 64/90 - 31.169s
1: Epoch 65/90 - 30.991s
0: Epoch 65/90 - 30.991s
1: Epoch 66/90 - 31.081s
0: Epoch 66/90 - 31.081s
1: Epoch 67/90 - 31.105s
0: Epoch 67/90 - 31.105s
1: Epoch 68/90 - 31.104s
0: Epoch 68/90 - 31.104s
1: Epoch 69/90 - 31.121s
0: Epoch 69/90 - 31.121s
1: Epoch 70/90 - 31.088s
0: Epoch 70/90 - 31.088s
1: Epoch 71/90 - 31.140s
0: Epoch 71/90 - 31.140s
1: Epoch 72/90 - 31.087s
0: Epoch 72/90 - 31.087s
1: Epoch 73/90 - 31.083s
0: Epoch 73/90 - 31.083s
1: Epoch 74/90 - 31.115s
0: Epoch 74/90 - 31.115s
1: Epoch 75/90 - 31.203s
0: Epoch 75/90 - 31.203s
1: Epoch 76/90 - 30.947s
0: Epoch 76/90 - 30.947s
1: Epoch 77/90 - 31.261s
0: Epoch 77/90 - 31.261s
1: Epoch 78/90 - 30.949s
0: Epoch 78/90 - 30.950s
1: Epoch 79/90 - 31.531s
0: Epoch 79/90 - 31.531s
1: Epoch 80/90 - 32.783s
0: Epoch 80/90 - 32.783s
1: Epoch 81/90 - 32.843s
0: Epoch 81/90 - 32.843s
1: Epoch 82/90 - 32.441s
0: Epoch 82/90 - 32.441s
1: Epoch 83/90 - 31.174s
0: Epoch 83/90 - 31.174s
1: Epoch 84/90 - 30.935s
0: Epoch 84/90 - 30.935s
1: Epoch 85/90 - 30.952s
0: Epoch 85/90 - 30.952s
1: Epoch 86/90 - 31.029s
0: Epoch 86/90 - 31.029s
1: Epoch 87/90 - 31.000s
0: Epoch 87/90 - 31.000s
1: Epoch 88/90 - 31.023s
0: Epoch 88/90 - 31.023s
1: Epoch 89/90 - 31.129s
1: Steps per epoch: 25
1: Validation steps per epoch: 10
1: Average time per epoch: 31.626 s
0: Epoch 89/90 - 31.129s
0: Steps per epoch: 25
0: Validation steps per epoch: 10
0: 
0: Average time per epoch: 31.626 s
1: --- 2850.099986076355 seconds ---
0: --- 2850.100363254547 seconds ---
ELAPSED: 2858 seconds
End at Tue Feb  9 16:27:23 EET 2021
