WORKERS: "gpu06-ib:5555","gpu07-ib:5555"
Start at Sun Feb  7 14:15:33 EET 2021
CUDA_VISIBLE_DEVICES: 0,1
Running on hosts: gpu[06-07]
Running on 2 nodes.
Running 2 tasks per node
Job id is 1090368
1: Number of devices per node: 2
0: Number of devices per node: 2
3: Number of devices per node: 2
2: Number of devices per node: 2
0: rank 0
1: rank 
1: 1
2: rank 2
3: rank 3
1: => creating model 'resnet50'
3: => creating model 'resnet50'
2: => creating model 'resnet50'
0: => creating model 'resnet50'
2: Epoch 0/90 - 37.734s
3: Epoch 0/90 - 37.734s
1: Epoch 0/90 - 37.734s
0: Epoch 0/90 - 37.734s
1: Epoch 1/90 - 25.358s
2: Epoch 1/90 - 25.358s
3: Epoch 1/90 - 25.358s
0: Epoch 1/90 - 25.358s
1: Epoch 2/90 - 25.284s
2: Epoch 2/90 - 25.284s
3: Epoch 2/90 - 25.284s
0: Epoch 2/90 - 25.284s
1: Epoch 3/90 - 25.347s
2: Epoch 3/90 - 25.347s
3: Epoch 3/90 - 25.347s
0: Epoch 3/90 - 25.347s
1: Epoch 4/90 - 25.364s
2: Epoch 4/90 - 25.364s
3: Epoch 4/90 - 25.364s
0: Epoch 4/90 - 25.364s
1: Epoch 5/90 - 25.299s
2: Epoch 5/90 - 25.299s
3: Epoch 5/90 - 25.299s
0: Epoch 5/90 - 25.299s
1: Epoch 6/90 - 25.626s
2: Epoch 6/90 - 25.626s
3: Epoch 6/90 - 25.626s
0: Epoch 6/90 - 25.626s
1: Epoch 7/90 - 25.515s
2: Epoch 7/90 - 25.515s
3: Epoch 7/90 - 25.515s
0: Epoch 7/90 - 25.515s
1: Epoch 8/90 - 25.274s
2: Epoch 8/90 - 25.274s
3: Epoch 8/90 - 25.274s
0: Epoch 8/90 - 25.274s
1: Epoch 9/90 - 25.288s
2: Epoch 9/90 - 25.288s
3: Epoch 9/90 - 25.288s
0: Epoch 9/90 - 25.288s
1: Epoch 10/90 - 25.526s
2: Epoch 10/90 - 25.526s
3: Epoch 10/90 - 25.526s
0: Epoch 10/90 - 25.526s
1: Epoch 11/90 - 25.376s
2: Epoch 11/90 - 25.376s
3: Epoch 11/90 - 25.376s
0: Epoch 11/90 - 25.376s
1: Epoch 12/90 - 25.351s
2: Epoch 12/90 - 25.351s
3: Epoch 12/90 - 25.351s
0: Epoch 12/90 - 25.351s
1: Epoch 13/90 - 25.400s
2: Epoch 13/90 - 25.400s
3: Epoch 13/90 - 25.400s
0: Epoch 13/90 - 25.400s
1: Epoch 14/90 - 25.464s
2: Epoch 14/90 - 25.464s
3: Epoch 14/90 - 25.464s
0: Epoch 14/90 - 25.464s
1: Epoch 15/90 - 25.394s
2: Epoch 15/90 - 25.394s
3: Epoch 15/90 - 25.394s
0: Epoch 15/90 - 25.394s
1: Epoch 16/90 - 25.264s
2: Epoch 16/90 - 25.264s
3: Epoch 16/90 - 25.264s
0: Epoch 16/90 - 25.264s
1: Epoch 17/90 - 25.285s
2: Epoch 17/90 - 25.285s
3: Epoch 17/90 - 25.285s
0: Epoch 17/90 - 25.285s
1: Epoch 18/90 - 25.181s
2: Epoch 18/90 - 25.181s
3: Epoch 18/90 - 25.181s
0: Epoch 18/90 - 25.181s
1: Epoch 19/90 - 25.277s
2: Epoch 19/90 - 25.277s
3: Epoch 19/90 - 25.277s
0: Epoch 19/90 - 25.277s
1: Epoch 20/90 - 25.372s
2: Epoch 20/90 - 25.372s
3: Epoch 20/90 - 25.372s
0: Epoch 20/90 - 25.372s
1: Epoch 21/90 - 25.508s
2: Epoch 21/90 - 25.508s
3: Epoch 21/90 - 25.508s
0: Epoch 21/90 - 25.508s
1: Epoch 22/90 - 25.325s
2: Epoch 22/90 - 25.325s
3: Epoch 22/90 - 25.325s
0: Epoch 22/90 - 25.325s
1: Epoch 23/90 - 25.374s
2: Epoch 23/90 - 25.374s
3: Epoch 23/90 - 25.374s
0: Epoch 23/90 - 25.374s
1: Epoch 24/90 - 25.387s
3: Epoch 24/90 - 25.387s
2: Epoch 24/90 - 25.387s
0: Epoch 24/90 - 25.387s
1: Epoch 25/90 - 25.643s
2: Epoch 25/90 - 25.643s
3: Epoch 25/90 - 25.643s
0: Epoch 25/90 - 25.643s
1: Epoch 26/90 - 25.558s
2: Epoch 26/90 - 25.558s
3: Epoch 26/90 - 25.558s
0: Epoch 26/90 - 25.558s
1: Epoch 27/90 - 25.310s
2: Epoch 27/90 - 25.310s
