WORKERS: "gpu19-ib:5555","gpu20-ib:5555"
Start at Tue Feb  9 17:07:34 EET 2021
CUDA_VISIBLE_DEVICES: 0,1
Running on hosts: gpu[19-20]
Running on 2 nodes.
Running 2 tasks per node
Job id is 1092099
0: Number of devices per node: 2
1: Number of devices per node: 2
2: Number of devices per node: 2
3: Number of devices per node: 2
1: rank 1
1: 
0: rank 0
2: rank 2
3: rank 3
2: => creating model 'resnet50'
3: => creating model 'resnet50'
1: => creating model 'resnet50'
0: => creating model 'resnet50'
2: Epoch 0/90 - 69.235s
1: Epoch 0/90 - 69.236s
3: Epoch 0/90 - 69.235s
0: Epoch 0/90 - 69.236s
1: Epoch 1/90 - 63.399s
2: Epoch 1/90 - 63.399s
3: Epoch 1/90 - 63.399s
0: Epoch 1/90 - 63.398s
1: Epoch 2/90 - 62.902s
2: Epoch 2/90 - 62.902s
3: Epoch 2/90 - 62.902s
0: Epoch 2/90 - 62.902s
1: Epoch 3/90 - 63.224s
2: Epoch 3/90 - 63.224s
3: Epoch 3/90 - 63.224s
0: Epoch 3/90 - 63.224s
1: Epoch 4/90 - 63.788s
2: Epoch 4/90 - 63.788s
3: Epoch 4/90 - 63.788s
0: Epoch 4/90 - 63.788s
1: Epoch 5/90 - 63.387s
2: Epoch 5/90 - 63.387s
3: Epoch 5/90 - 63.387s
0: Epoch 5/90 - 63.387s
1: Epoch 6/90 - 63.230s
2: Epoch 6/90 - 63.230s
3: Epoch 6/90 - 63.230s
0: Epoch 6/90 - 63.230s
1: Epoch 7/90 - 63.367s
2: Epoch 7/90 - 63.367s
3: Epoch 7/90 - 63.367s
0: Epoch 7/90 - 63.367s
1: Epoch 8/90 - 63.281s
2: Epoch 8/90 - 63.281s
3: Epoch 8/90 - 63.281s
0: Epoch 8/90 - 63.281s
1: Epoch 9/90 - 63.551s
3: Epoch 9/90 - 63.551s
2: Epoch 9/90 - 63.551s
0: Epoch 9/90 - 63.551s
1: Epoch 10/90 - 63.341s
2: Epoch 10/90 - 63.341s
3: Epoch 10/90 - 63.341s
0: Epoch 10/90 - 63.341s
1: Epoch 11/90 - 64.155s
2: Epoch 11/90 - 64.155s
0: Epoch 11/90 - 64.155s
3: Epoch 11/90 - 64.155s
1: Epoch 12/90 - 63.016s
2: Epoch 12/90 - 63.016s
3: Epoch 12/90 - 63.016s
0: Epoch 12/90 - 63.016s
1: Epoch 13/90 - 63.037s
3: Epoch 13/90 - 63.037s
2: Epoch 13/90 - 63.037s
0: Epoch 13/90 - 63.037s
1: Epoch 14/90 - 63.388s
2: Epoch 14/90 - 63.388s
3: Epoch 14/90 - 63.388s
0: Epoch 14/90 - 63.388s
1: Epoch 15/90 - 63.216s
2: Epoch 15/90 - 63.216s
3: Epoch 15/90 - 63.216s
0: Epoch 15/90 - 63.216s
1: Epoch 16/90 - 62.811s
2: Epoch 16/90 - 62.811s
3: Epoch 16/90 - 62.811s
0: Epoch 16/90 - 62.811s
1: Epoch 17/90 - 62.897s
2: Epoch 17/90 - 62.897s
3: Epoch 17/90 - 62.897s
0: Epoch 17/90 - 62.897s
1: Epoch 18/90 - 63.024s
3: Epoch 18/90 - 63.024s
2: Epoch 18/90 - 63.024s
0: Epoch 18/90 - 63.024s
1: Epoch 19/90 - 63.006s
2: Epoch 19/90 - 63.006s
3: Epoch 19/90 - 63.006s
0: Epoch 19/90 - 63.006s
1: Epoch 20/90 - 63.181s
2: Epoch 20/90 - 63.181s
3: Epoch 20/90 - 63.181s
0: Epoch 20/90 - 63.181s
1: Epoch 21/90 - 63.374s
2: Epoch 21/90 - 63.374s
3: Epoch 21/90 - 63.374s
0: Epoch 21/90 - 63.374s
1: Epoch 22/90 - 63.445s
2: Epoch 22/90 - 63.445s
3: Epoch 22/90 - 63.445s
0: Epoch 22/90 - 63.445s
1: Epoch 23/90 - 62.957s
2: Epoch 23/90 - 62.957s
3: Epoch 23/90 - 62.957s
0: Epoch 23/90 - 62.957s
1: Epoch 24/90 - 63.282s
2: Epoch 24/90 - 63.282s
3: Epoch 24/90 - 63.282s
0: Epoch 24/90 - 63.282s
1: Epoch 25/90 - 63.708s
2: Epoch 25/90 - 63.708s
3: Epoch 25/90 - 63.708s
0: Epoch 25/90 - 63.708s
1: Epoch 26/90 - 63.696s
2: Epoch 26/90 - 63.696s
3: Epoch 26/90 - 63.696s
0: Epoch 26/90 - 63.696s
1: Epoch 27/90 - 63.255s
2: Epoch 27/90 - 63.255s
3: Epoch 27/90 - 63.255s
0: Epoch 27/90 - 63.255s
1: Epoch 28/90 - 63.006s
2: Epoch 28/90 - 63.006s
3: Epoch 28/90 - 63.006s
0: Epoch 28/90 - 63.006s
1: Epoch 29/90 - 63.103s
2: Epoch 29/90 - 63.103s
3: Epoch 29/90 - 63.103s
0: Epoch 29/90 - 63.103s
1: Epoch 30/90 - 63.330s
2: Epoch 30/90 - 63.330s
3: Epoch 30/90 - 63.330s
0: Epoch 30/90 - 63.330s
1: Epoch 31/90 - 63.085s
2: Epoch 31/90 - 63.085s
3: Epoch 31/90 - 63.085s
0: Epoch 31/90 - 63.085s
1: Epoch 32/90 - 63.276s
2: Epoch 32/90 - 63.276s
3: Epoch 32/90 - 63.276s
0: Epoch 32/90 - 63.276s
1: Epoch 33/90 - 62.793s
2: Epoch 33/90 - 62.793s
3: Epoch 33/90 - 62.793s
0: Epoch 33/90 - 62.793s
1: Epoch 34/90 - 62.613s
2: Epoch 34/90 - 62.613s
3: Epoch 34/90 - 62.613s
0: Epoch 34/90 - 62.613s
1: Epoch 35/90 - 62.834s
2: Epoch 35/90 - 62.834s
3: Epoch 35/90 - 62.834s
0: Epoch 35/90 - 62.834s
1: Epoch 36/90 - 63.116s
2: Epoch 36/90 - 63.116s
3: Epoch 36/90 - 63.116s
0: Epoch 36/90 - 63.116s
1: Epoch 37/90 - 63.049s
2: Epoch 37/90 - 63.049s
3: Epoch 37/90 - 63.049s
0: Epoch 37/90 - 63.049s
1: Epoch 38/90 - 62.901s
2: Epoch 38/90 - 62.901s
3: Epoch 38/90 - 62.901s
0: Epoch 38/90 - 62.901s
1: Epoch 39/90 - 66.377s
2: Epoch 39/90 - 66.377s
3: Epoch 39/90 - 66.376s
0: Epoch 39/90 - 66.377s
1: Epoch 40/90 - 62.690s
2: Epoch 40/90 - 62.690s
3: Epoch 40/90 - 62.690s
0: Epoch 40/90 - 62.690s
1: Epoch 41/90 - 63.035s
2: Epoch 41/90 - 63.035s
3: Epoch 41/90 - 63.035s
0: Epoch 41/90 - 63.035s
1: Epoch 42/90 - 62.569s
2: Epoch 42/90 - 62.569s
3: Epoch 42/90 - 62.569s
0: Epoch 42/90 - 62.569s
1: Epoch 43/90 - 63.439s
2: Epoch 43/90 - 63.439s
3: Epoch 43/90 - 63.439s
0: Epoch 43/90 - 63.439s
1: Epoch 44/90 - 63.249s
2: Epoch 44/90 - 63.249s
3: Epoch 44/90 - 63.249s
0: Epoch 44/90 - 63.249s
1: Epoch 45/90 - 63.231s
2: Epoch 45/90 - 63.231s
3: Epoch 45/90 - 63.231s
0: Epoch 45/90 - 63.231s
1: Epoch 46/90 - 63.013s
2: Epoch 46/90 - 63.013s
3: Epoch 46/90 - 63.013s
0: Epoch 46/90 - 63.013s
1: Epoch 47/90 - 63.449s
