WORKERS: "gpu07-ib:5555"
Start at Sun Feb 14 03:51:47 EET 2021
CUDA_VISIBLE_DEVICES: 0,1
Running on hosts: gpu07
Running on 1 nodes.
Running 2 tasks per node
Job id is 1095024
0: Number of devices per node: 2
1: Number of devices per node: 2
1: rank 1
1: 
0: rank 0
0: => creating model 'resnet50'
1: => creating model 'resnet50'
1: Epoch 0/90 - 112.552s
0: Epoch 0/90 - 112.552s
1: Epoch 1/90 - 107.245s
0: Epoch 1/90 - 107.245s
1: Epoch 2/90 - 106.991s
0: Epoch 2/90 - 106.991s
1: Epoch 3/90 - 106.867s
0: Epoch 3/90 - 106.867s
1: Epoch 4/90 - 106.948s
0: Epoch 4/90 - 106.948s
1: Epoch 5/90 - 107.625s
0: Epoch 5/90 - 107.625s
1: Epoch 6/90 - 106.550s
0: Epoch 6/90 - 106.550s
1: Epoch 7/90 - 105.207s
0: Epoch 7/90 - 105.207s
1: Epoch 8/90 - 108.422s
0: Epoch 8/90 - 108.422s
1: Epoch 9/90 - 108.557s
0: Epoch 9/90 - 108.557s
1: Epoch 10/90 - 103.393s
0: Epoch 10/90 - 103.393s
1: Epoch 11/90 - 105.980s
0: Epoch 11/90 - 105.980s
1: Epoch 12/90 - 103.854s
0: Epoch 12/90 - 103.854s
1: Epoch 13/90 - 104.237s
0: Epoch 13/90 - 104.237s
1: Epoch 14/90 - 101.277s
0: Epoch 14/90 - 101.277s
1: Epoch 15/90 - 100.985s
0: Epoch 15/90 - 100.985s
1: Epoch 16/90 - 101.303s
0: Epoch 16/90 - 101.303s
1: Epoch 17/90 - 102.466s
0: Epoch 17/90 - 102.466s
1: Epoch 18/90 - 104.367s
0: Epoch 18/90 - 104.367s
1: Epoch 19/90 - 104.143s
0: Epoch 19/90 - 104.143s
1: Epoch 20/90 - 104.348s
0: Epoch 20/90 - 104.348s
1: Epoch 21/90 - 104.899s
0: Epoch 21/90 - 104.899s
1: Epoch 22/90 - 104.059s
0: Epoch 22/90 - 104.059s
1: Epoch 23/90 - 104.269s
0: Epoch 23/90 - 104.269s
1: Epoch 24/90 - 104.743s
0: Epoch 24/90 - 104.743s
1: Epoch 25/90 - 104.865s
0: Epoch 25/90 - 104.865s
1: Epoch 26/90 - 104.810s
0: Epoch 26/90 - 104.810s
1: Epoch 27/90 - 104.572s
0: Epoch 27/90 - 104.572s
1: Epoch 28/90 - 104.729s
0: Epoch 28/90 - 104.729s
1: Epoch 29/90 - 105.052s
0: Epoch 29/90 - 105.052s
