WORKERS: "gpu01-ib:5555","gpu02-ib:5555"
Start at Sun Feb 14 03:27:28 EET 2021
CUDA_VISIBLE_DEVICES: 0,1
Running on hosts: gpu[01-02]
Running on 2 nodes.
Running 2 tasks per node
Job id is 1095025
1: Number of devices per node: 2
2: Number of devices per node: 2
0: Number of devices per node: 2
3: Number of devices per node: 2
3: 
0: rank 0
2: rank 2
1: rank 1
3: rank 3
1: => creating model 'resnet50'
0: => creating model 'resnet50'
3: => creating model 'resnet50'
2: => creating model 'resnet50'
1: Epoch 0/90 - 68.169s
3: Epoch 0/90 - 68.169s
2: Epoch 0/90 - 68.169s
0: Epoch 0/90 - 68.169s
1: Epoch 1/90 - 62.461s
2: Epoch 1/90 - 62.461s
3: Epoch 1/90 - 62.461s
0: Epoch 1/90 - 62.461s
1: Epoch 2/90 - 62.722s
2: Epoch 2/90 - 62.722s
3: Epoch 2/90 - 62.722s
0: Epoch 2/90 - 62.722s
1: Epoch 3/90 - 62.234s
2: Epoch 3/90 - 62.234s
3: Epoch 3/90 - 62.234s
0: Epoch 3/90 - 62.234s
1: Epoch 4/90 - 61.956s
2: Epoch 4/90 - 61.956s
3: Epoch 4/90 - 61.956s
0: Epoch 4/90 - 61.956s
1: Epoch 5/90 - 62.437s
2: Epoch 5/90 - 62.437s
3: Epoch 5/90 - 62.437s
0: Epoch 5/90 - 62.437s
1: Epoch 6/90 - 62.344s
2: Epoch 6/90 - 62.344s
3: Epoch 6/90 - 62.344s
0: Epoch 6/90 - 62.344s
1: Epoch 7/90 - 62.059s
2: Epoch 7/90 - 62.059s
3: Epoch 7/90 - 62.059s
0: Epoch 7/90 - 62.059s
1: Epoch 8/90 - 62.088s
2: Epoch 8/90 - 62.088s
3: Epoch 8/90 - 62.088s
0: Epoch 8/90 - 62.088s
1: Epoch 9/90 - 62.060s
2: Epoch 9/90 - 62.060s
3: Epoch 9/90 - 62.060s
0: Epoch 9/90 - 62.060s
